"Scenario","pMIC","probability_zero_annual_risk","mean_consumption_days","outcome","log10_mean_annual_risk","log10_p025_positive_annual_risk","log10_p125_positive_annual_risk","log10_p25_positive_annual_risk","log10_median_positive_annual_risk","log10_p75_positive_annual_risk","log10_p875_positive_annual_risk","log10_p975_positive_annual_risk"
"Raw shrimp consumption",0,0.17891,13.47958,"More likely treatable",-3.88602891136674,-5.84695062643849,-5.16721043458316,-4.77332440109777,-4.26983508386935,-3.82165179537574,-3.53606863491586,-3.05889529194138
"Raw shrimp consumption",0.1,0.17891,13.47958,"More likely treatable",-3.90016288093918,-5.85749988847802,-5.18135313588755,-4.78749612578421,-4.28293834546144,-3.83538858301275,-3.55022167561611,-3.0742321761217
"Raw shrimp consumption",0.2,0.17891,13.47958,"More likely treatable",-3.92103483337184,-5.88112158385869,-5.20440831681366,-4.80832414390151,-4.3035276943609,-3.85542414070436,-3.57027688695208,-3.09489237424915
"Raw shrimp consumption",0.3,0.17891,13.47958,"More likely treatable",-3.94150956272074,-5.89779127111183,-5.22483333348456,-4.82863301301809,-4.32382239220276,-3.87576873852914,-3.59059227660768,-3.11473020783133
"Raw shrimp consumption",0.4,0.17891,13.47958,"More likely treatable",-3.96155827196608,-5.91994215053392,-5.2452923049188,-4.84982523244214,-4.34346025922927,-3.89589409546314,-3.610062813988,-3.13401339703989
"Raw shrimp consumption",0.5,0.17891,13.47958,"More likely treatable",-3.98116602696312,-5.94054109407185,-5.26464920426268,-4.86925460837889,-4.36281442177246,-3.91553456542635,-3.6295185842554,-3.15392025917613
"Raw shrimp consumption",0.6,0.17891,13.47958,"More likely treatable",-4.00031624477745,-5.95836077488075,-5.28408482476103,-4.88876379857876,-4.38150058497212,-3.93382987374756,-3.64905294684288,-3.17267031747075
"Raw shrimp consumption",0.7,0.17891,13.47958,"More likely treatable",-4.01903003284685,-5.97965820180354,-5.30253571013912,-4.90831971477184,-4.3999617178251,-3.95261317197217,-3.66802272938453,-3.19074755944739
"Raw shrimp consumption",0.8,0.17891,13.47958,"More likely treatable",-4.03731691702967,-6.00168915282935,-5.32202111716137,-4.92601468248367,-4.41887025573229,-3.9719180240511,-3.6865906231318,-3.20869659275951
"Raw shrimp consumption",0.9,0.17891,13.47958,"More likely treatable",-4.05518082590799,-6.02226736535036,-5.34015629991756,-4.9445604662846,-4.43686598491752,-3.98991428560964,-3.70432556158965,-3.22509410420845
"Raw shrimp consumption",1,0.17891,13.47958,"More likely treatable",-4.07261858551153,-6.04193203778144,-5.35795645086886,-4.96239577551501,-4.45452738793469,-4.00678423440438,-3.72188704062603,-3.24250218865956
"Raw shrimp consumption",1.1,0.17891,13.47958,"More likely treatable",-4.08963415342051,-6.05865603880533,-5.37452107837708,-4.9797086382708,-4.47173698422723,-4.02355996624579,-3.7386921569138,-3.25935983554515
"Raw shrimp consumption",1.2,0.17891,13.47958,"More likely treatable",-4.10622257228022,-6.07525267759379,-5.39160250964741,-4.99656745455167,-4.48820061265975,-4.04028270443177,-3.75541723377155,-3.27595978257551
"Raw shrimp consumption",1.3,0.17891,13.47958,"More likely treatable",-4.12241498507878,-6.09129856510468,-5.40826442919653,-5.01345453046008,-4.50465872648495,-4.05638501501589,-3.77172524692321,-3.29081229281457
"Raw shrimp consumption",1.4,0.17891,13.47958,"More likely treatable",-4.13818505462867,-6.10858367506246,-5.42435185201451,-5.02915495027054,-4.52061482737461,-4.07265553463186,-3.78807638231571,-3.30695385899888
"Raw shrimp consumption",1.5,0.17891,13.47958,"More likely treatable",-4.15355977025611,-6.12461834464524,-5.44080499011077,-5.04490639728785,-4.53635990390134,-4.08824211340463,-3.80365408464497,-3.32170366126909
"Raw shrimp consumption",1.6,0.17891,13.47958,"More likely treatable",-4.16851622763071,-6.14056771191274,-5.45616600980144,-5.06042282238478,-4.55193867960368,-4.10360922359572,-3.81874140595637,-3.33631583146134
"Raw shrimp consumption",1.7,0.17891,13.47958,"More likely treatable",-4.18307929668619,-6.15562537458796,-5.47035575345983,-5.07555664059109,-4.56657617451628,-4.11858712390367,-3.8337233286418,-3.35068094370465
"Raw shrimp consumption",1.8,0.17891,13.47958,"More likely treatable",-4.19724682633184,-6.1689606971919,-5.48387251012494,-5.09009203754158,-4.58066116391657,-4.13292111724446,-3.8478981305389,-3.36495994535763
"Raw shrimp consumption",1.9,0.17891,13.47958,"More likely treatable",-4.21101994840442,-6.1843232455964,-5.49728578318699,-5.10424611852341,-4.59435848831554,-4.14662929799754,-3.86162338432976,-3.37852875173108
"Raw shrimp consumption",2,0.17891,13.47958,"More likely treatable",-4.2244037045703,-6.19769027879113,-5.51140231929252,-5.11801854462616,-4.60773000211413,-4.16014915777404,-3.87493918567836,-3.39172205442379
"Raw shrimp consumption",2.1,0.17891,13.47958,"More likely treatable",-4.23739812431337,-6.21057452037231,-5.52499316388442,-5.13122670587115,-4.62114731155503,-4.17319614936916,-3.88778239889529,-3.40525222529256
"Raw shrimp consumption",2.2,0.17891,13.47958,"More likely treatable",-4.25001589255894,-6.22405422868907,-5.53818855295661,-5.14367286340263,-4.63385476428949,-4.18609843280604,-3.90051591726056,-3.41746760979576
"Raw shrimp consumption",2.3,0.17891,13.47958,"More likely treatable",-4.26224447877947,-6.23667445800884,-5.55063103500092,-5.15589973505415,-4.64645196859991,-4.1985949629978,-3.91265066111007,-3.42924861976981
"Raw shrimp consumption",2.4,0.17891,13.47958,"More likely treatable",-4.27410456472217,-6.24799486255359,-5.56242600494408,-5.16812038355699,-4.65805995972525,-4.21067945465041,-3.92455317681424,-3.44104878113752
"Raw shrimp consumption",2.5,0.17891,13.47958,"Less likely treatable",-4.28560838989778,-6.25870998773946,-5.57439584013669,-5.17980605281792,-4.66970284838959,-4.22214302618719,-3.93574187786612,-3.45303564649983
"Raw shrimp consumption",2.6,0.17891,13.47958,"Less likely treatable",-4.29674745188619,-6.27036967256651,-5.58574407652432,-5.19092689170575,-4.68071727328492,-4.23339542375912,-3.94665587707329,-3.46423095022995
"Raw shrimp consumption",2.7,0.17891,13.47958,"Less likely treatable",-4.30752889411389,-6.2813818937406,-5.59645790832534,-5.20156933827132,-4.69142066125403,-4.24407431781525,-3.95758395609051,-3.47478400150709
"Raw shrimp consumption",2.8,0.17891,13.47958,"Less likely treatable",-4.31797017118547,-6.29184703465917,-5.60707079987966,-5.21181345732115,-4.70210034304813,-4.25437307932907,-3.96812023498066,-3.4852716500228
"Raw shrimp consumption",2.9,0.17891,13.47958,"Less likely treatable",-4.3280698611264,-6.30175269656493,-5.61729601261982,-5.22236008810496,-4.7120797022284,-4.26447843604375,-3.97831542698004,-3.49553173495491
"Raw shrimp consumption",3,0.17891,13.47958,"Less likely treatable",-4.33783630937964,-6.31175467216879,-5.62678424666273,-5.23218377130545,-4.72189886917241,-4.27408873406516,-3.98795350213024,-3.50519859714732
"Raw shrimp consumption",3.1,0.17891,13.47958,"Less likely treatable",-4.34727519626742,-6.3216281211976,-5.63635347654691,-5.24169962060551,-4.7313518588091,-4.28340772071569,-3.99732109564056,-3.5145584042535
"Raw shrimp consumption",3.2,0.17891,13.47958,"Less likely treatable",-4.35639595137564,-6.33059272738119,-5.64517273267818,-5.2509103335429,-4.74016257297113,-4.29255318092997,-4.0062288416723,-3.5237906734677
"Raw shrimp consumption",3.3,0.17891,13.47958,"Less likely treatable",-4.3652024986415,-6.3391802483345,-5.65430292160855,-5.25968247875389,-4.74878418130626,-4.30144700538496,-4.01501474278134,-3.53298924528019
"Raw shrimp consumption",3.4,0.17891,13.47958,"Less likely treatable",-4.37370596609716,-6.34518519404549,-5.66247678580817,-5.26814494033145,-4.75722750044622,-4.3098177568087,-4.02330671797253,-3.54172126633894
"Raw shrimp consumption",3.5,0.17891,13.47958,"Less likely treatable",-4.38191351202512,-6.35209699982204,-5.67052299705194,-5.27602715289045,-4.7653863322495,-4.31812234056071,-4.03159853270532,-3.54997439690851
"Raw shrimp consumption",3.6,0.17891,13.47958,"Less likely treatable",-4.38982852932333,-6.35921282465336,-5.67843502252871,-5.28380987912472,-4.77280001764507,-4.32571579496222,-4.03941020731649,-3.5581303235915
"Raw shrimp consumption",3.7,0.17891,13.47958,"Less likely treatable",-4.39746260140999,-6.36700852877969,-5.68599242656217,-5.29147280312887,-4.7800893097158,-4.3333592410234,-4.04696585221656,-3.56570588412327
"Raw shrimp consumption",3.8,0.17891,13.47958,"Less likely treatable",-4.40482383972334,-6.37437637580847,-5.6934536307576,-5.29880883341806,-4.78744084662994,-4.34100774285122,-4.05404296382124,-3.57327018829565
"Raw shrimp consumption",3.9,0.17891,13.47958,"Less likely treatable",-4.41191485175099,-6.37975183263744,-5.70004209003752,-5.30572878719356,-4.79452835360566,-4.3479506181098,-4.06099717387813,-3.58091679137337
"Raw shrimp consumption",4,0.17891,13.47958,"Less likely treatable",-4.41874448419262,-6.38689000451102,-5.70615906096267,-5.31242224468143,-4.80153602640876,-4.35464129530862,-4.06793304232358,-3.58809433281711
"Raw shrimp consumption",4.1,0.17891,13.47958,"Less likely treatable",-4.42532250378593,-6.39301205821867,-5.71267123963202,-5.31908078123551,-4.80808925504275,-4.36132022828131,-4.07454361121776,-3.59516648082154
"Raw shrimp consumption",4.2,0.17891,13.47958,"Less likely treatable",-4.43165732124551,-6.39969350079651,-5.71825032364142,-5.32523414815289,-4.81445452389436,-4.36738405570437,-4.08075680116824,-3.60211686287413
"Raw shrimp consumption",4.3,0.17891,13.47958,"Less likely treatable",-4.43775495590059,-6.40591908583962,-5.72414658718072,-5.33103159209618,-4.82033959609465,-4.37361099107594,-4.08714059464409,-3.60837409963341
"Raw shrimp consumption",4.4,0.17891,13.47958,"Less likely treatable",-4.44362138581177,-6.4116994388518,-5.72998861930292,-5.33669488297209,-4.82626235155305,-4.37970483594153,-4.09308628532584,-3.61503125521164
"Raw shrimp consumption",4.5,0.17891,13.47958,"Less likely treatable",-4.4492624555852,-6.41818222039777,-5.73569550921377,-5.34194686103372,-4.83178638190334,-4.38519789240202,-4.09918330731311,-3.6208381286847
"Raw shrimp consumption",4.6,0.17891,13.47958,"Less likely treatable",-4.45468600803807,-6.42398160878244,-5.74118082236425,-5.34690405531758,-4.83710726673747,-4.39048074848895,-4.1046352656868,-3.62677902560153
"Raw shrimp consumption",4.7,0.17891,13.47958,"Less likely treatable",-4.45990109859874,-6.42651239347835,-5.74620057342123,-5.3520183869669,-4.8421432627481,-4.39542971465929,-4.10995652259123,-3.63115926123918
"Raw shrimp consumption",4.8,0.17891,13.47958,"Less likely treatable",-4.46491480707512,-6.43148050654734,-5.7511666353974,-5.35687162097061,-4.84714096501162,-4.40047735060654,-4.11474381200845,-3.63512948085922
"Raw shrimp consumption",4.9,0.17891,13.47958,"Less likely treatable",-4.46973342205979,-6.43653506900295,-5.7555738646212,-5.36145299875456,-4.85181214262797,-4.40521846372738,-4.11927514762044,-3.64078076171334
"Raw shrimp consumption",5,0.17891,13.47958,"Less likely treatable",-4.47436301124704,-6.43949738252683,-5.75996085576525,-5.36597937205338,-4.85647318056141,-4.40967301273382,-4.12400446553163,-3.64489794371316
"Raw shrimp consumption",5.1,0.17891,13.47958,"Less likely treatable",-4.47880943465453,-6.44251442266927,-5.76372189789373,-5.36995150993264,-4.86081813290002,-4.41413749730258,-4.12850875937994,-3.64962805331926
"Raw shrimp consumption",5.2,0.17891,13.47958,"Less likely treatable",-4.48307900411929,-6.44795260884137,-5.7677826704104,-5.37415251365165,-4.86545593727794,-4.41829018409302,-4.13305914373015,-3.65367927716335
"Raw shrimp consumption",5.3,0.17891,13.47958,"Less likely treatable",-4.48717781607385,-6.45242498715991,-5.77171395026053,-5.37819673302079,-4.86943484854624,-4.42242149346511,-4.137021050379,-3.65787253202405
"Raw shrimp consumption",5.4,0.17891,13.47958,"Less likely treatable",-4.49111322876265,-6.45628513773682,-5.77536965689419,-5.38177400322157,-4.87332825984044,-4.42622694623092,-4.14043774515665,-3.66124256997113
"Raw shrimp consumption",5.5,0.17891,13.47958,"Less likely treatable",-4.4948918289828,-6.46093378646226,-5.77867206983016,-5.38568450635038,-4.8772970374622,-4.42979032837562,-4.14393744114355,-3.66466621944196
"Raw shrimp consumption",5.6,0.17891,13.47958,"Less likely treatable",-4.49851943392014,-6.46497316253808,-5.78120741105127,-5.38968398778382,-4.88054107161606,-4.43350087635,-4.14765507358853,-3.66828309598522
"Raw shrimp consumption",5.7,0.17891,13.47958,"Less likely treatable",-4.50200027716168,-6.46827423830546,-5.78463685834559,-5.39286200480664,-4.88389205418358,-4.43685528531649,-4.15131296226103,-3.67138957229468
"Raw shrimp consumption",5.8,0.17891,13.47958,"Less likely treatable",-4.50533942832985,-6.47106637554908,-5.78837543363338,-5.39603049518497,-4.88718302362356,-4.44030841768997,-4.15492895515218,-3.67500737745798
"Raw shrimp consumption",5.9,0.17891,13.47958,"Less likely treatable",-4.50854248809561,-6.47503129225471,-5.79182457365485,-5.39878710342531,-4.89071118315952,-4.44341065239731,-4.15831591973976,-3.67796254451234
"Raw shrimp consumption",6,0.17891,13.47958,"Less likely treatable",-4.51161562179834,-6.47789990159705,-5.79479021003476,-5.40179379782854,-4.89370167641216,-4.44626386278628,-4.16161895508021,-3.68157108136548
"Raw shrimp consumption",6.1,0.17891,13.47958,"Less likely treatable",-4.51456327556419,-6.48076103885007,-5.79763512154236,-5.40409264931921,-4.89642882522078,-4.44902373721712,-4.16459052230033,-3.68504788465411
"Raw shrimp consumption",6.2,0.17891,13.47958,"Less likely treatable",-4.51739036739324,-6.48251963872963,-5.80022946931469,-5.406455894186,-4.89954586892485,-4.45213270531294,-4.16773709944493,-3.68816551807345
